Numero,Ano,Data,Situacao,Autores,Ementa,Titulo
139,2025,14/04/2025,Encaminhado,"Adriano de Marcos Lopes (Autor), Anderson Marcos Viana (Autor), Samir Edson Tino (Autor), Teresinha de Lourdes Freitas Regodanso (Autor)","Indicamos ao Excelentíssimo Senhor Prefeito Municipal, que estude junto ao setor competente da administração, as possibilidades de realizar melhorias na estrada rural conhecida como “Estrada da Saúde/União”, localizada nas proximidades do Bosque Municipal. A solicitação visa aprimorar as condições de tráfego, facilitando o deslocamento...",Indicação nº 139/2025
138,2025,14/04/2025,Encaminhado,"Anderson Marcos Viana (Autor), Adriano de Marcos Lopes (Autor), Teresinha de Lourdes Freitas Regodanso (Autor)","Indicamos ao Excelentíssimo Senhor Prefeito Municipal, que estude junto ao setor competente da administração, as possibilidades de realizar, com urgência, a reforma do salão comunitário do Bairro Jardim Duas Barras, tendo em vista o estado de deterioração do espaço, utilizado para atividades esportivas e eventos da comunidade. É...",Indicação nº 138/2025
137,2025,10/04/2025,Encaminhado,"Reinaldo Codognato (Autor), Bruno Herreira (Autor), Edvaldo Aparecido Carvalho (Autor), Elizeu Adriano (Autor), Renato Vieira de Brito (Autor), Samir Edson Tino (Autor)","Indicamos ao Excelentíssimo Senhor Prefeito Municipal, que estude junto ao setor competente da administração, as possibilidades de realizar um estudo técnico para reavaliar o direcionamento das águas pluviais no entorno do complexo esportivo do Bairro Vila Beatriz. A solicitação tem como base o risco iminente de queda do alambrado,...",Indicação nº 137/2025
136,2025,10/04/2025,Encaminhado,"Reinaldo Codognato (Autor), Bruno Herreira (Autor), Edvaldo Aparecido Carvalho (Autor), Elizeu Adriano (Autor), Renato Vieira de Brito (Autor), Samir Edson Tino (Autor)","Indicamos ao Excelentíssimo Senhor Prefeito Municipal, que estude junto ao setor competente da administração, as possibilidades de ampliar, de três para seis horas, a carga horária remunerada dos profissionais das Estratégias de Saúde da Família (ESFs) que prestam atendimento em horário noturno, uma vez por mês, das 17h às 20h. A medida...",Indicação nº 136/2025
135,2025,10/04/2025,Encaminhado,"Anderson Marcos Viana (Autor), Adriano de Marcos Lopes (Autor), Teresinha de Lourdes Freitas Regodanso (Autor)","Indicamos ao Excelentíssimo Senhor Prefeito Municipal, que estude junto ao setor competente da administração, as possibilidades de estabelecer diálogo com a direção da Santa Casa de Misericórdia de Junqueirópolis, com o objetivo de equiparar os salários dos técnicos de enfermagem, enfermeiros e auxiliares de enfermagem que atuam na...",Indicação nº 135/2025
134,2025,10/04/2025,Encaminhado,"Anderson Marcos Viana (Autor), Adriano de Marcos Lopes (Autor), Teresinha de Lourdes Freitas Regodanso (Autor)","Indicamos ao Excelentíssimo Senhor Prefeito Municipal, que estude junto ao setor competente da administração, as possibilidades de fixar um valor simbólico para o aluguel do salão comunitário, oferecendo condições mais acessíveis aos moradores do próprio bairro. Para pessoas de fora, poderá ser aplicada uma taxa um pouco superior. Essa...",Indicação nº 134/2025
133,2025,10/04/2025,Encaminhado,Edvaldo Aparecido Carvalho (Autor),"Indico ao Excelentíssimo Senhor Prefeito Municipal, que estude junto ao setor competente da administração, as possibilidades de instalar iluminação pública na parte gramada da calçada ao lado da mata, nas imediações do Cemitério Municipal, na Avenida Paulista. A medida visa aumentar a segurança no local, que tem sido alvo de preocupações...",Indicação nº 133/2025
132,2025,08/04/2025,Encaminhado,"Adriano de Marcos Lopes (Autor), Anderson Marcos Viana (Autor), Teresinha de Lourdes Freitas Regodanso (Autor)","Indicamos ao Excelentíssimo Senhor Prefeito Municipal, que estude junto ao setor competente da administração, as possibilidades de realizar a revitalização paisagística ou a jardinagem da área da caixa d’água localizada no entroncamento da Avenida Paulista com a Avenida Sete de Setembro, proporcionando mais beleza e valorização ao...",Indicação nº 132/2025
131,2025,08/04/2025,Encaminhado,"Adriano de Marcos Lopes (Autor), Anderson Marcos Viana (Autor), Teresinha de Lourdes Freitas Regodanso (Autor)","Indicamos ao Excelentíssimo Senhor Prefeito Municipal, que estude junto ao setor competente da administração, as possibilidades de implementar o sistema “Junqueirópolis Sem Papel”, com o objetivo de permitir o protocolo e envio de documentos por meio digital, como prestações de contas e outros expedientes. A medida contribuirá para a...",Indicação nº 131/2025
130,2025,08/04/2025,Encaminhado,"Adriano de Marcos Lopes (Autor), Anderson Marcos Viana (Autor), Teresinha de Lourdes Freitas Regodanso (Autor)","Indicamos ao Excelentíssimo Senhor Prefeito Municipal, que estude junto ao setor competente da administração, as possibilidades de instalar placas de sinalização indicando a localização do Bosque Municipal, tanto na Vicinal José Siniciato quanto na estrada rural que também dá acesso ao local. A medida visa facilitar o acesso de...",Indicação nº 130/2025
129,2025,03/04/2025,Encaminhado,"Anderson Marcos Viana (Autor), Bruno Herreira (Autor), Elizeu Adriano (Autor), Reinaldo Codognato (Autor), Renato Vieira de Brito (Autor), Samir Edson Tino (Autor), Edvaldo Aparecido Carvalho (Autor)","Indicamos ao Excelentíssimo Senhor Prefeito Municipal, reforçando a Indicação n° 112/2025, que solicita a ampliação da iluminação no sistema de lazer do Bairro Jardim Primavera, que estude junto ao setor competente da administração, as possibilidades de implementar as seguintes melhorias: – Revitalização do Centro Comunitário do Jardim...",Indicação nº 129/2025
128,2025,03/04/2025,Encaminhado,Reinaldo Codognato (Autor),"Indico ao Excelentíssimo Senhor Prefeito Municipal, que estude junto ao setor competente da administração, as possibilidades de instalar um playground ou construir uma área de lazer no Bairro Figueira. A iniciativa proporcionará um espaço adequado para o lazer das crianças e famílias da comunidade, promovendo bem-estar e incentivando a...",Indicação nº 128/2025
127,2025,03/04/2025,Encaminhado,"Samir Edson Tino (Autor), Bruno Herreira (Autor)","Indicamos ao Excelentíssimo Senhor Prefeito Municipal, que estude junto ao setor competente da administração, as possibilidades de promover uma campanha educativa sobre os impactos do descarte irregular de lixo. A iniciativa pode incluir ações nas escolas, rádios e redes sociais, conscientizando a população sobre os prejuízos ambientais...",Indicação nº 127/2025
126,2025,03/04/2025,Encaminhado,"Samir Edson Tino (Autor), Bruno Herreira (Autor)","Indicamos ao Excelentíssimo Senhor Prefeito Municipal, que estude junto ao setor competente da administração, as possibilidades de desenvolver campanhas educativas sobre a posse responsável de animais. As ações podem ser realizadas em escolas e comunidades, abordando temas como cuidados básicos, alimentação adequada, vacinação e a...",Indicação nº 126/2025
125,2025,03/04/2025,Encaminhado,"Samir Edson Tino (Autor), Bruno Herreira (Autor)","Indicamos ao Excelentíssimo Senhor Prefeito Municipal, que estude junto ao setor competente da administração, as possibilidades de realizar um festival anual que una gastronomia, cultura e comércio local. O evento poderá contar com a participação de restaurantes, artistas locais e expositores de produtos regionais, promovendo o turismo e...",Indicação nº 125/2025
124,2025,03/04/2025,Encaminhado,"Anderson Marcos Viana (Autor), Adriano de Marcos Lopes (Autor), Teresinha de Lourdes Freitas Regodanso (Autor)","Indicamos ao Excelentíssimo Senhor Prefeito Municipal, que estude junto ao setor competente da administração, as possibilidades de disponibilizar transporte para pacientes idosos e aqueles com dificuldades de locomoção que necessitam de atendimento no setor de fisioterapia. Muitos enfrentam dificuldades financeiras para custear o...",Indicação nº 124/2025
