Numero,Ano,Data,Situacao,Autores,Ementa,Titulo
035,2024,25/09/2024,Aprovado,Anderson Marcos Viana (Autor),"REQUEIRO À MESA, após ouvido o Douto Plenário e obedecidas as formalidades regimentais, o envio de ofício à Diretoria de Planejamento, Obras e Serviços e Manutenção, no sentido de fornecer a esta Casa de Leis, dentro do prazo legal, informações sobre a execução e remoção de obras no Bairro Alto do Cene e na Rua Constantino Marcolino de...",Requerimento nº 035/2024
034,2024,24/09/2024,Aprovado,Paulo Sérgio Cordeiro (Autor),"REQUEIRO À MESA, após ouvido o Douto Plenário e obedecidas as formalidades regimentais, o envio de ofício à Diretoria de Agronegócio, Indústria, Comércio e Meio Ambiente e Gestão de Resíduos Sólidos, no sentido de fornecer a esta Casa de Leis, dentro do prazo legal, os motivos pelos quais a empresa Alpha 7 Construtora ainda não deu...",Requerimento nº 034/2024
033,2024,20/08/2024,Aprovado,Teresinha de Lourdes Freitas Regodanso (Autor),"REQUEIRO À MESA, após ouvido o Douto Plenário e obedecidas as formalidades regimentais, que seja encaminhado ofício à Presidência do Egrégio Tribunal de Justiça do Estado de São Paulo, tendo em vista a homologação do concurso para o cargo de Oficial de Justiça, solicitando que esta Casa de Leis seja informada, no prazo legal, acerca da...",Requerimento nº 033/2024
032,2024,20/08/2024,Aprovado,Anderson Marcos Viana (Autor),"REQUEIRO À MESA, após ouvido o Douto Plenário e obedecidas as formalidades regimentais, o envio de ofício à Diretoria de Saúde, no sentido de fornecer a esta Casa de Leis, dentro do prazo legal, uma relação dos veículos da saúde destinados ao transporte de pacientes. Especificamente, peço que sejam informadas a quantidade total de...",Requerimento nº 032/2024
031,2024,14/08/2024,Aprovado,Anderson Marcos Viana (Autor),"REQUEIRO À MESA, após ouvido o Douto Plenário e obedecidas as formalidades regimentais, o envio de ofício à Diretoria Administrativa, no sentido de fornecer a esta Casa de Leis, dentro do prazo legal, a disponibilização das filmagens das câmeras de segurança do Centro de Atenção Psicossocial (CAPS) dos últimos três meses. Tal solicitação...",Requerimento nº 031/2024
030,2024,11/06/2024,Aprovado,Paulo Sérgio Cordeiro (Autor),"REQUEIRO À MESA, após ouvido o Douto Plenário e obedecidas as formalidades regimentais, o envio de ofício à Diretoria de Planejamento, Obras, Serviços e Manutenção, no sentido de fornecer a esta Casa de Leis, dentro do prazo legal, uma relação detalhada das máquinas da Prefeitura que estão em condições de prestar serviço. Esta...",Requerimento nº 030/2024
029,2024,06/06/2024,Aprovado,Anderson Marcos Viana (Autor),"REQUEIRO À MESA, após ouvido o Douto Plenário e obedecidas as formalidades regimentais, o envio de ofício à Diretoria de Planejamento, Obras, Serviços e Manutenção, no sentido de fornecer a esta Casa de Leis, dentro do prazo legal, informações sobre o motivo pelo qual alguns caminhões de terra foram despejados na área verde do Bairro...",Requerimento nº 029/2024
028,2024,06/06/2024,Aprovado,Anderson Marcos Viana (Autor),"REQUEIRO À MESA, após ouvido o Douto Plenário e obedecidas as formalidades regimentais, o envio de ofício à Diretoria Administrativa, no sentido de fornecer a esta Casa de Leis, dentro do prazo legal, informações sobre o motivo pelo qual o portal da transparência da Prefeitura de Junqueirópolis esteve inacessível em determinados menus...",Requerimento nº 028/2024
027,2024,22/05/2024,Aprovado,Anderson Marcos Viana (Autor),"REQUEIRO À MESA, após ouvido o Douto Plenário e obedecidas as formalidades regimentais, o envio de ofício à Diretoria de Agronegócio, Indústria, Comércio e Meio Ambiente e Gestão de Resíduos Sólidos, no sentido de fornecer a esta Casa de Leis, dentro do prazo legal, informações detalhadas sobre a fundamentação dos cortes de árvores e...",Requerimento nº 027/2024
026,2024,14/05/2024,Aprovado,Paulo Sérgio Cordeiro (Autor),"REQUEIRO À MESA, após ouvido o Douto Plenário e obedecidas as formalidades regimentais, o envio de ofício à Diretoria de Fazenda, Compras, Almoxarifado e Recursos Humanos, no sentido de fornecer a esta Casa de Leis, dentro do prazo legal, relação detalhada das férias adquiridas e gozadas pelos servidores que ocupam cargos comissionados...",Requerimento nº 026/2024
025,2024,14/05/2024,Aprovado,Elio Furini Neto (Autor),"REQUEIRO À MESA, após ouvido o Douto Plenário e obedecidas as formalidades regimentais, o envio de ofício à Diretoria de Fazenda, Compras, Almoxarifado e Recursos Humanos, no sentido de fornecer a esta Casa de Leis, dentro do prazo legal, informações detalhadas sobre o número de servidores efetivos da prefeitura, bem como a soma dos seus...",Requerimento nº 025/2024
