Numero,Ano,Data,Situacao,Autores,Ementa,Titulo
148,2022,22/11/2022,Encaminhado,"Anderson Marcos Viana (Autor), Elio Furini Neto (Autor), Marisa Alves da Silva Costa (Autor), Paulo Sérgio Cordeiro (Autor), Reinaldo Codognato (Autor), Rui Domingos da Silva (Autor), Sofia Rodrigues dos Santos (Autor), Teresinha de Lourdes Freitas Regodanso (Autor), Valdir Aparecido de Oliveira (Autor)","Indico ao Excelentíssimo Senhor Prefeito Municipal, reforçando a indicação n. 108/2021, de autoria de todos os Vereadores, que estude junto ao setor competente da administração, as possibilidades de realizar a limpeza das Estações de Tratamento de Esgotos - ETE, digo a “Lagoa de Tratamento do Matadouro” e principalmente a “Lagoa de...",Indicação nº 148/2022
147,2022,22/11/2022,Encaminhado,Anderson Marcos Viana (Autor),"Indico ao Excelentíssimo Senhor Prefeito Municipal, que estude junto ao setor competente da administração, as possibilidades de construir um redutor de velocidade denominado como “lombada ou lombo faixa” no encontro da Rua Victor Junqueira com a Rua Professora Neyde Altrão, onde termina a pavimentação do Bairro Jardim Alvorada. Tal...",Indicação nº 147/2022
146,2022,22/11/2022,Encaminhado,Anderson Marcos Viana (Autor),"Indico ao Excelentíssimo Senhor Prefeito Municipal, que estude junto ao setor competente da administração, as possibilidades de estar substituindo ou restaurando as placas de trânsito do município. Tal indicação se justifica em razão de várias placas estarem quebradas ou arrancadas, prejudicando assim o fluxo de carros, uma vez que as...",Indicação nº 146/2022
145,2022,18/11/2022,Encaminhado,Valdir Aparecido de Oliveira (Autor),"Indico ao Excelentíssimo Senhor Prefeito Municipal, que estude junto ao setor competente da administração, as possibilidades de construir uma quadra de vôlei de areia nas proximidades do Ginásio de Esporte Cícero Gomes, ao lado da academia de judô. Tal indicação se justifica em razão do referido local possuir um excelente espaço físico...",Indicação nº 145/2022
144,2022,18/11/2022,Encaminhado,"Anderson Marcos Viana (Autor), Elio Furini Neto (Autor)","Indico ao Excelentíssimo Senhor Prefeito Municipal, que estude junto ao setor competente da administração, as possibilidades de realizar a manutenção do campo sintético do Jardim Paulista. Tal indicação se justifica em razão do referido local estar demasiadamente deteriorado, uma vez que o campo já foi construído há anos, mas não recebeu...",Indicação nº 144/2022
143,2022,17/11/2022,Encaminhado,"Anderson Marcos Viana (Autor), Elio Furini Neto (Autor), Marisa Alves da Silva Costa (Autor), Paulo Sérgio Cordeiro (Autor), Reinaldo Codognato (Autor), Rui Domingos da Silva (Autor), Sofia Rodrigues dos Santos (Autor), Teresinha de Lourdes Freitas Regodanso (Autor), Valdir Aparecido de Oliveira (Autor)","Indicamos ao Excelentíssimo Senhor Prefeito Municipal, que estude junto ao setor competente da administração, as possibilidades de providenciar bueiros inteligentes, que consistem em um cesto coletor com alças laterais de metal produzido em diversas medidas de acordo com cada bueiro, especificamente para cada modelo já existente na rede...",Indicação nº 143/2022
142,2022,17/11/2022,Encaminhado,"Anderson Marcos Viana (Autor), Elio Furini Neto (Autor), Marisa Alves da Silva Costa (Autor), Paulo Sérgio Cordeiro (Autor), Reinaldo Codognato (Autor), Rui Domingos da Silva (Autor), Sofia Rodrigues dos Santos (Autor), Teresinha de Lourdes Freitas Regodanso (Autor), Valdir Aparecido de Oliveira (Autor)","Indicamos ao Excelentíssimo Senhor Prefeito Municipal, que estude junto ao setor competente da administração, as possibilidades de providenciar bueiros inteligentes, que consistem em um cesto coletor com alças laterais de metal produzido em diversas medidas de acordo com cada bueiro, especificamente para cada modelo já existente na rede...",Indicação nº 142/2022
141,2022,17/11/2022,Encaminhado,"Anderson Marcos Viana (Autor), Elio Furini Neto (Autor), Marisa Alves da Silva Costa (Autor), Paulo Sérgio Cordeiro (Autor), Reinaldo Codognato (Autor), Rui Domingos da Silva (Autor), Sofia Rodrigues dos Santos (Autor), Teresinha de Lourdes Freitas Regodanso (Autor), Valdir Aparecido de Oliveira (Autor)","Indicamos ao Excelentíssimo Senhor Prefeito Municipal, que estude junto ao setor competente da administração, as possibilidades de criar um festival cultural intitulado como “Junque Arte”, que envolva música, dança, teatro, cinema, entre outras demonstrações artísticas. Tal indicação se justifica em razão da necessidade em se trazer para...",Indicação nº 141/2022
140,2022,17/11/2022,Encaminhado,"Anderson Marcos Viana (Autor), Elio Furini Neto (Autor), Marisa Alves da Silva Costa (Autor), Paulo Sérgio Cordeiro (Autor), Reinaldo Codognato (Autor), Rui Domingos da Silva (Autor), Sofia Rodrigues dos Santos (Autor), Teresinha de Lourdes Freitas Regodanso (Autor), Valdir Aparecido de Oliveira (Autor)","Indicamos ao Excelentíssimo Senhor Prefeito Municipal, que estude junto ao setor competente da administração, as possibilidades de providenciar um local adequado para ensinar técnicas de autodefesa. Tal indicação se justifica em razão do auxílio que será prestado à população, em especial às mulheres, que são diariamente alvos de assédios...",Indicação nº 140/2022
139,2022,11/11/2022,Encaminhado,Anderson Marcos Viana (Autor),"Indico ao Excelentíssimo Senhor Prefeito Municipal, que estude junto ao setor competente da administração, as possibilidades de cercar a quadra localizada no Bairro Jardim Alvorada. Tal indicação se justifica em razão de diversas vezes, durante a prática de esportes, a bola ser chutada ou arremessada nas pessoas que caminham nas...",Indicação nº 139/2022
138,2022,09/11/2022,Encaminhado,"Anderson Marcos Viana (Autor), Elio Furini Neto (Autor), Marisa Alves da Silva Costa (Autor), Paulo Sérgio Cordeiro (Autor), Teresinha de Lourdes Freitas Regodanso (Autor), Valdir Aparecido de Oliveira (Autor)","Indicamos ao Excelentíssimo Senhor Prefeito Municipal, que estude junto ao setor competente da administração, as possibilidades de construir um memorial para as vítimas fatais da COVID-19 na entrada do trevo principal do município, na Avenida Geraldo Fudo. Tal indicação se justifica em razão da necessidade em se preservar a memória dos...",Indicação nº 138/2022
